year,quarter,state_name/ut_name,districts_name,registered_users
2022,2,karnataka,koppal district,402659
2022,2,karnataka,bidar district,570697
2022,2,karnataka,bengaluru rural district,877678
2022,2,karnataka,raichur district,594248
2022,2,karnataka,chamarajanagara district,242198
2022,2,karnataka,dakshina kannada district,1014820
2022,2,karnataka,hassan district,678916
2022,2,karnataka,dharwad district,974500
2022,2,karnataka,shivamogga district,677386
2022,2,karnataka,udupi district,521045
2022,2,karnataka,gadag district,312474
2022,3,karnataka,mysuru district,1556384
2022,3,karnataka,chitradurga district,528557
2022,3,karnataka,kalaburagi district,874282
2022,3,karnataka,ramanagara district,563154
2022,3,karnataka,mandya district,665227
2022,3,karnataka,kodagu district,219407
2022,3,karnataka,chikkamagaluru district,421862
2022,3,karnataka,haveri district,432627
2022,3,karnataka,ballari district,1030428
2022,3,karnataka,belagavi district,1635855
2022,3,karnataka,kolar district,774245
2022,3,karnataka,uttara kannada district,496232
2022,3,karnataka,tumakuru district,1070793
2022,3,karnataka,yadgir district,280412
2022,3,karnataka,bengaluru urban district,13997602
2022,3,karnataka,chikkaballapura district,542150
2022,3,karnataka,davanagere district,734360
2022,3,karnataka,bagalkote district,654927
2022,3,karnataka,vijayapura district,792750
2022,3,karnataka,koppal district,424581
2022,3,karnataka,bidar district,600650
2022,3,karnataka,bengaluru rural district,924127
2022,3,karnataka,raichur district,626205
2022,3,karnataka,chamarajanagara district,254664
2022,3,karnataka,dakshina kannada district,1065741
2022,3,karnataka,hassan district,713468
2022,3,karnataka,dharwad district,1024771
2022,3,karnataka,shivamogga district,711717
2022,3,karnataka,udupi district,547661
2022,3,karnataka,gadag district,329155
2022,4,karnataka,mysuru district,1627802
2022,4,karnataka,chitradurga district,552065
2022,4,karnataka,kalaburagi district,913258
2022,4,karnataka,ramanagara district,589205
2022,4,karnataka,mandya district,695736
2022,4,karnataka,kodagu district,227995
2022,4,karnataka,chikkamagaluru district,439498
2022,4,karnataka,haveri district,452477
2022,4,karnataka,ballari district,1079558
2022,4,karnataka,belagavi district,1709145
2022,4,karnataka,kolar district,810354
2022,4,karnataka,uttara kannada district,517643
2022,4,karnataka,tumakuru district,1118547
2022,4,karnataka,yadgir district,292816
2022,4,karnataka,bengaluru urban district,14654455
2022,4,karnataka,chikkaballapura district,567348
2022,4,karnataka,davanagere district,768021
2022,4,karnataka,bagalkote district,685069
2022,4,karnataka,vijayapura district,828346
2022,4,karnataka,koppal district,443983
2022,4,karnataka,bidar district,628455
2022,4,karnataka,bengaluru rural district,968384
2022,4,karnataka,raichur district,655421
