year,quarter,state_name/ut_name,districts_name,total_transactions_count,total_transactions_amount
2021,2,jharkhand,deoghar district,141,167411.0
2021,2,jharkhand,palamu district,248,225217.0
2021,2,jharkhand,latehar district,61,72491.0
2021,2,jharkhand,west singhbhum district,86,105481.0
2021,2,jharkhand,pakur district,58,52634.0
2021,2,jharkhand,lohardaga district,72,56969.0
2021,2,jharkhand,sahebganj district,73,77008.0
2021,2,jharkhand,giridih district,197,191694.0
2021,2,jharkhand,bokaro district,405,422044.0
2021,3,jharkhand,ramgarh district,238,272231.0
2021,3,jharkhand,ranchi district,1484,1611727.0
2021,3,jharkhand,east singhbhum district,963,921561.0
2021,3,jharkhand,jamtara district,34,31389.0
2021,3,jharkhand,dumka district,86,132763.0
2021,3,jharkhand,koderma district,108,88713.0
2021,3,jharkhand,hazaribagh district,282,274354.0
2021,3,jharkhand,simdega district,34,43312.0
2021,3,jharkhand,garhwa district,145,125641.0
2021,3,jharkhand,saraikela kharsawan district,241,241991.0
2021,3,jharkhand,gumla district,62,75267.0
2021,3,jharkhand,chatra district,96,89477.0
2021,3,jharkhand,khunti district,89,131108.0
2021,3,jharkhand,dhanbad district,820,813608.0
2021,3,jharkhand,godda district,94,101288.0
2021,3,jharkhand,deoghar district,179,159871.0
2021,3,jharkhand,palamu district,606,672846.0
2021,3,jharkhand,latehar district,75,91517.0
2021,3,jharkhand,west singhbhum district,124,171002.0
2021,3,jharkhand,pakur district,32,47606.0
2021,3,jharkhand,lohardaga district,152,76185.0
2021,3,jharkhand,sahebganj district,58,67062.0
2021,3,jharkhand,giridih district,194,175791.0
2021,3,jharkhand,bokaro district,598,629738.0
2021,4,jharkhand,ramgarh district,355,479936.0
2021,4,jharkhand,ranchi district,2151,2693792.0
2021,4,jharkhand,east singhbhum district,1241,1587274.0
2021,4,jharkhand,jamtara district,53,78716.0
2021,4,jharkhand,dumka district,122,156949.0
2021,4,jharkhand,koderma district,112,128101.0
2021,4,jharkhand,hazaribagh district,276,496461.0
2021,4,jharkhand,simdega district,73,95839.0
2021,4,jharkhand,garhwa district,165,214695.0
2021,4,jharkhand,saraikela kharsawan district,332,403274.0
2021,4,jharkhand,gumla district,100,172701.0
2021,4,jharkhand,chatra district,71,112169.0
2021,4,jharkhand,khunti district,125,130221.0
2021,4,jharkhand,dhanbad district,1022,1522634.0
2021,4,jharkhand,godda district,113,143720.0
2021,4,jharkhand,deoghar district,235,250418.0
2021,4,jharkhand,palamu district,479,537986.0
2021,4,jharkhand,latehar district,80,92996.0
2021,4,jharkhand,west singhbhum district,210,282927.0
2021,4,jharkhand,pakur district,65,57733.0
2021,4,jharkhand,lohardaga district,97,121817.0
2021,4,jharkhand,sahebganj district,83,100522.0
2021,4,jharkhand,giridih district,254,311822.0
2021,4,jharkhand,bokaro district,651,1017720.0
2022,1,jharkhand,ramgarh district,299,447478.0
2022,1,jharkhand,ranchi district,2342,3350440.0
2022,1,jharkhand,east singhbhum district,1582,1994586.0
2022,1,jharkhand,jamtara district,89,139277.0
2022,1,jharkhand,dumka district,159,244881.0
2022,1,jharkhand,koderma district,93,183047.0
2022,1,jharkhand,hazaribagh district,322,588476.0
2022,1,jharkhand,simdega district,68,149968.0
2022,1,jharkhand,garhwa district,200,295904.0
2022,1,jharkhand,saraikela kharsawan district,389,538634.0
2022,1,jharkhand,gumla district,102,265852.0
2022,1,jharkhand,chatra district,81,132869.0
2022,1,jharkhand,khunti district,155,189976.0
2022,1,jharkhand,dhanbad district,1203,1741406.0
2022,1,jharkhand,godda district,129,218015.0
2022,1,jharkhand,deoghar district,204,295711.0
